region,fueltech,interval,power,emissions
NSW1,pumps,2026-08-10 15:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 15:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 16:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 16:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 17:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 17:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 18:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 18:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 19:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 19:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 20:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 20:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 21:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 21:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 22:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 22:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 23:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 23:30:00+10:00,0.0,0.0
NSW1,solar,2026-08-10 00:00:00+10:00,0.015033333333333334,0.0
NSW1,solar,2026-08-10 00:30:00+10:00,0.014866666666666667,0.0
NSW1,solar,2026-08-10 01:00:00+10:00,0.015033333333333334,0.0
NSW1,solar,2026-08-10 01:30:00+10:00,0.0147,0.0
NSW1,solar,2026-08-10 02:00:00+10:00,0.015033333333333334,0.0
NSW1,solar,2026-08-10 02:30:00+10:00,0.014866666666666667,0.0
NSW1,solar,2026-08-10 03:00:00+10:00,0.0147,0.0
NSW1,solar,2026-08-10 03:30:00+10:00,0.014866666666666667,0.0
NSW1,solar,2026-08-10 04:00:00+10:00,0.015033333333333334,0.0
NSW1,solar,2026-08-10 04:30:00+10:00,0.014866666666666667,0.0
NSW1,solar,2026-08-10 05:00:00+10:00,0.015033333333333334,0.0
NSW1,solar,2026-08-10 05:30:00+10:00,0.014866666666666667,0.0
NSW1,solar,2026-08-10 06:00:00+10:00,0.015033333333333334,0.0
NSW1,solar,2026-08-10 06:30:00+10:00,0.9374333333333333,0.0
NSW1,solar,2026-08-10 07:00:00+10:00,12.698100000000002,0.0
NSW1,solar,2026-08-10 07:30:00+10:00,170.29911666666666,0.0
NSW1,solar,2026-08-10 08:00:00+10:00,568.31795,0.0
NSW1,solar,2026-08-10 08:30:00+10:00,1270.73875,0.0
NSW1,solar,2026-08-10 09:00:00+10:00,2254.3543,0.0
NSW1,solar,2026-08-10 09:30:00+10:00,3111.5916333333334,0.0
NSW1,solar,2026-08-10 10:00:00+10:00,3849.251583333333,0.0
NSW1,solar,2026-08-10 10:30:00+10:00,4548.187166666667,0.0
NSW1,solar,2026-08-10 11:00:00+10:00,4727.9676,0.0
NSW1,solar,2026-08-10 11:30:00+10:00,4941.350816666666,0.0
NSW1,solar,2026-08-10 12:00:00+10:00,4985.309983333334,0.0
NSW1,solar,2026-08-10 12:30:00+10:00,5058.865,0.0
NSW1,solar,2026-08-10 13:00:00+10:00,4862.920999999999,0.0
NSW1,solar,2026-08-10 13:30:00+10:00,4291.042816666667,0.0
NSW1,solar,2026-08-10 14:00:00+10:00,4008.6199666666666,0.0
NSW1,solar,2026-08-10 14:30:00+10:00,3614.9607833333334,0.0
NSW1,solar,2026-08-10 15:00:00+10:00,3142.9726499999997,0.0
NSW1,solar,2026-08-10 15:30:00+10:00,2413.8490500000003,0.0
NSW1,solar,2026-08-10 16:00:00+10:00,1799.7207166666667,0.0
NSW1,solar,2026-08-10 16:30:00+10:00,1028.7421666666667,0.0
NSW1,solar,2026-08-10 17:00:00+10:00,332.98066666666665,0.0
NSW1,solar,2026-08-10 17:30:00+10:00,23.436216666666667,0.0
NSW1,solar,2026-08-10 18:00:00+10:00,0.023033333333333333,0.0
NSW1,solar,2026-08-10 18:30:00+10:00,0.012866666666666667,0.0
NSW1,solar,2026-08-10 19:00:00+10:00,0.012866666666666667,0.0
